"year","nest","female","male","clutch_size_found","clutch_size","found","floated","end","fate","lat","lon","float_1","float_2","float_3","com"
2006,"2006A1","CA226","802109713",2,2,2006-05-02,2006-05-02,2006-05-12,"aban",-106.9579676,23.90834796,5,2,NA,"abandoned nest is smashed on 516 by car"
2006,"2006A2","CA2082","2m",3,3,2006-05-05,2006-05-05,2006-06-01,"unhatch",-106.9530159,23.90430282,5,8,8,""
2006,"2006A3","802122911","CA143",2,3,2006-05-05,2006-05-05,2006-05-19,"pred",-106.9533507,23.90567095,2,1,NA,""
2006,"2006A4","CA101","CA110",3,3,2006-05-07,2006-05-07,2006-06-07,"unhatch",-106.9583207,23.91418511,1,2,1,"all unhatched eggs contained yellow yolk"
2006,"2006A5","802122914","CA328",3,3,2006-05-08,2006-05-08,2006-05-29,"hatch",-106.9580129,23.9107039,5,1,2,"unhatched egg(s) with yolk only"
2006,"2006A6","6fm","6m",2,2,2006-05-08,2006-05-08,2006-05-09,"pred",-106.9568361,23.91016813,2,2,NA,""
2006,"2006A7","802122913","CA1545",3,3,2006-05-08,2006-05-08,2006-05-31,"hatch",-106.9560643,23.90913061,2,5,1,""
2006,"2006A8","8fm","8m",2,2,2006-05-16,2006-05-16,2006-05-21,"pred",-106.9562508,23.9065189,11,11,NA,""
2006,"2006A101","CA103","CA050",3,3,2006-05-12,2006-05-12,2006-06-06,"hatch",-106.9516529,23.90116906,0,0,0,"1 egg/chick disappeared at hatching, after the first two chicks had hatched"
2006,"2006A102","802122930","102m",2,2,2006-05-12,2006-05-12,2006-05-19,"pred",-106.9508955,23.90239757,5,2,NA,""
2006,"2006A103","CA102","CA052",3,3,2006-05-13,2006-05-13,2006-06-05,"hatch",-106.9525485,23.90522067,2,0,0,"one egg disappeared about 10 days before hatching"
2006,"2006A104","802109760","CA051",3,3,2006-05-13,2006-05-13,2006-06-10,"hatch",-106.9531685,23.90465301,0,0,2,"?unhatched egg(s) with yolk only"
2006,"2006A105","CA2037","105m",3,3,2006-05-13,2006-05-13,2006-05-23,"pred",-106.9502135,23.90144916,8,8,10,""
2006,"2006A106","106fm","106m",3,3,2006-05-13,2006-05-13,2006-05-23,"pred",NA,NA,0,2,0,""
2006,"2006B1","CA241","802109744",3,3,2006-05-02,2006-05-02,2006-05-26,"hatch",-106.963731,23.91214779,5,5,5,"518 male found dead 2 m next to nest, on egg broken; 525 both remaining eggs pecking; 526 one egg hatched but chick found dead in nest, last egg unhatched "
2006,"2006B2","CA245","802122903",2,2,2006-05-02,2006-05-02,2006-05-29,"hatch",-106.9637869,23.91194845,1,2,NA,"503 one egg disappeared"
2006,"2006B3","CA039","CA203",3,3,2006-05-03,2006-05-03,2006-05-13,"aban",-106.9638637,23.91378031,8,8,5,""
2006,"2006B4","802122928","802122925",2,3,2006-05-07,2006-05-07,2006-06-02,"hatch",-106.9626642,23.9117461,1,0,NA,""
2006,"2006B5","802109721","CA057",3,3,2006-05-08,2006-05-08,2006-06-05,"hatch",-106.9625633,23.91286696,2,2,1,""
2006,"2006B6","RX.WX|YX.WX","RX.WX|YX.BX",3,3,2006-05-14,2006-05-14,2006-06-05,"hatch",-106.9634379,23.91420108,2,1,1,"unhatched egg(s) with yolk only"
2006,"2006B7","CA112","CA043",3,3,2006-05-17,2006-05-17,2006-06-08,"hatch",-106.9622833,23.91188639,5,5,2,"unhatched egg(s) with yolk only"
2006,"2006B8","CA113","CA042",3,3,2006-05-27,2006-05-27,2006-06-11,"hatch",-106.9645044,23.91328457,8,11,8,""
2006,"2006B9","9fm","CA080",3,3,2006-06-01,2006-06-01,2006-06-07,"aban",-106.963584,23.91346788,11,10,11,""
2006,"2006B101","101fm","802109714",3,3,2006-05-04,2006-05-04,2006-05-09,"pred",-106.9652853,23.91361768,2,0,0,""
2006,"2006B102","102fm","102m",3,3,2006-05-12,2006-05-12,2006-05-19,"pred",-106.9671287,23.91471367,5,0,2,""
2006,"2006B207","CA204","CA203",3,3,2006-06-06,2006-06-06,2006-06-18,"hatch",-106.9631951,23.91438475,10,8,8,"1 egg/chick disappeared at hatching, after the first two chicks had hatched"
2006,"2006B208","CA126","CA091",NA,3,2006-06-07,NA,2006-06-07,"hatch",-106.9631788,23.91395158,NA,NA,NA,"nest with 2 chicks hatched already"
2006,"2006B209","CA125","CA123",NA,3,2006-06-07,NA,2006-06-07,"hatch",-106.9623336,23.91261708,NA,NA,NA,"nest with 1 chicks hatched already"
2006,"2006C1","CA177","CA220",3,3,2006-05-03,2006-05-03,2006-05-19,"hatch",-106.9599673,23.91721586,11,11,10,""
2006,"2006C2","2fm","2m",1,1,2006-05-07,2006-05-07,2006-05-10,"pred",-106.9591371,23.91426499,1,NA,NA,""
2006,"2006C3","CA202","CA156",3,3,2006-05-07,2006-05-07,2006-05-20,"pred",-106.9604,23.91529623,5,8,8,""
2006,"2006C4","4fm","4m",1,1,2006-05-08,2006-05-08,2006-05-08,"aban",-106.9622376,23.91471299,5,NA,NA,"nest probably abandoned before"
2006,"2006C5","802109742","CA007",3,3,2006-05-12,2006-05-12,2006-06-03,"hatch",-106.9597683,23.91899707,5,8,10,"unhatched egg(s) with yolk only"
2006,"2006C6","CA011","802109793",3,3,2006-05-12,2006-05-12,2006-06-10,"unhatch",-106.9601854,23.91734851,5,5,5,"1 dead embryo < 15 days old, 2 eggs with yolk only"
2006,"2006C7","CA002","CA001",3,3,2006-05-12,2006-05-12,2006-06-02,"hatch",-106.960203,23.91786293,8,5,2,""
2006,"2006C8","CA015","CA029",3,3,2006-05-13,2006-05-13,2006-06-08,"hatch",-106.959884,23.91690091,2,2,0,"526 one egg missing, 609 broke last egg: red yolk inside"
2006,"2006C9","CA012","CA030",3,3,2006-05-13,2006-05-13,2006-06-13,"unhatch",-106.9588213,23.91677,2,2,1,"unhatched egg(s) with yolk only"
2006,"2006C10","CA034","CA013",2,3,2006-05-13,2006-05-13,2006-06-12,"hatch",-106.9592293,23.91581677,0,0,NA,""
2006,"2006C11","CA003","802109716",2,2,2006-05-14,2006-05-14,2006-05-27,"pred",-106.9613198,23.91376765,1,0,NA,""
2006,"2006C12","CA010","CA054",3,3,2006-05-16,2006-05-16,2006-06-08,"hatch",-106.9611711,23.91887986,5,5,2,"606 one egg missing, 609 broke last egg with yolk only inside"
2006,"2006C13","CA036","CA008",2,3,2006-05-20,2006-05-20,2006-06-16,"hatch",-106.9568302,23.91694886,0,2,NA,""
2006,"2006C14","14fm","14m",3,3,2006-05-20,2006-05-20,2006-05-26,"pred",-106.9595173,23.91602979,2,2,2,""
2006,"2006C15","CA1526","802109768",2,2,2006-05-23,2006-05-23,2006-06-18,"unhatch",-106.9610792,23.91474584,8,5,NA,"?unhatched egg(s) with yolk only"
2006,"2006C16","CA047","CA114",3,3,2006-05-23,2006-05-23,2006-06-15,"hatch",-106.9620198,23.9145984,2,1,5,""
2006,"2006C17","CA219","CA220",2,3,2006-06-02,2006-06-02,2006-06-22,"pred",-106.9623833,23.91460279,2,1,NA,""
2006,"2006C18","802109785","18m",2,3,2006-06-08,2006-06-08,2006-06-22,"pred",-106.9599715,23.91488637,0,1,NA,""
2006,"2006C19","CA152","CA165",3,3,2006-06-10,2006-06-10,2006-06-20,"pred",-106.9601487,23.91687045,0,2,2,""
2006,"2006C20","CA137","CA107",3,3,2006-06-11,2006-06-11,2006-07-03,"hatch",-106.9611874,23.91671273,5,2,5,"?unhatched egg(s) with yolk only"
2006,"2006C21","CA002","CA231",1,3,2006-06-14,2006-06-14,2006-06-30,"aban",-106.9597523,23.91533158,0,NA,NA,""
2006,"2006C22","CA262","CA233",1,3,2006-06-16,2006-06-16,2006-07-10,"unknown",-106.9572465,23.91654629,0,NA,NA,""
2006,"2006C23","CA003","23m",1,2,2006-06-22,2006-06-22,NA,"unknown",-106.9598341,23.91554722,2,NA,NA,""
2006,"2006C24","CA082","CA280",3,3,2006-06-22,2006-06-22,NA,"unknown",-106.9595634,23.9151805,8,1,1,""
2006,"2006C25","CA266","CA301",3,3,2006-06-22,2006-06-22,2006-07-03,"aban",-106.9595327,23.91509963,2,0,1,""
2006,"2006C26","CA314","26m",1,3,2006-06-23,2006-06-23,NA,"unknown",-106.9593673,23.9139009,1,NA,NA,""
2006,"2006C27","802109771","CA235",3,3,2006-06-23,2006-06-23,NA,"unknown",-106.9601034,23.91451451,8,5,8,""
2006,"2006C28","CA1579","CA029",2,3,2006-06-23,2006-06-23,NA,"unknown",-106.9597871,23.91633333,2,0,NA,""
2006,"2006C29","29fm","29m",2,2,2006-06-23,2006-06-23,NA,"unknown",-106.9602161,23.9167793,0,2,NA,""
2006,"2006C30","CA310","802109780",3,3,2006-06-23,2006-06-23,2006-07-07,"hatch",-106.9593544,23.91760288,8,8,8,""
2006,"2006C31","CA234","802109714",3,3,2006-06-23,2006-06-23,NA,"unknown",-106.959087,23.91810288,5,10,8,""
2006,"2006C32","CA012","CA030",2,2,2006-06-23,2006-06-23,NA,"unknown",-106.9583811,23.91688396,2,1,NA,""
2006,"2006C33","CA015","CA253",3,3,2006-06-26,2006-06-26,NA,"unknown",-106.9604149,23.91367988,5,5,8,""
2006,"2006C34","CA1526","34m",2,2,2006-06-29,2006-06-29,NA,"unknown",-106.961014,23.91433134,2,1,NA,""
2006,"2006C35","35fm","35m",3,3,2006-07-09,2006-07-09,NA,"unknown",-106.960436,23.91572915,11,8,11,""
2006,"2006C36","802109729","36m",3,3,2006-07-09,2006-07-09,NA,"unknown",-106.9599546,23.91506716,8,5,5,""
2006,"2006C37","37fm","CA026",3,3,2006-07-09,2006-07-09,NA,"unknown",-106.9601029,23.91578757,5,8,8,""
