year;date_time;event;moon_cycle;start_moon_cycle;tide_cycle;start_tide_cycle
2006;2006-01-06 11:56;fq;0;NA;1;2006-01-06 11:56
2006;2006-01-14 02:48;fm;0;NA;1;NA
2006;2006-01-22 08:14;lq;0;NA;2;2006-01-22 08:14
2006;2006-01-29 07:15;nm;1;2006-01-29 07:15;2;NA
2006;2006-02-04 23:29;fq;1;NA;3;2006-02-04 23:29
2006;2006-02-12 21:44;fm;1;NA;3;NA
2006;2006-02-21 00:17;lq;1;NA;4;2006-02-21 00:17
2006;2006-02-27 17:31;nm;2;2006-02-27 17:31;4;NA
2006;2006-03-06 13:16;fq;2;NA;5;2006-03-06 13:16
2006;2006-03-14 16:35;fm;2;NA;5;NA
2006;2006-03-22 12:11;lq;2;NA;6;2006-03-22 12:11
2006;2006-03-29 03:15;nm;3;2006-03-29 03:15;6;NA
2006;2006-04-05 06:01;fq;3;NA;7;2006-04-05 06:01
2006;2006-04-13 10:40;fm;3;NA;7;NA
2006;2006-04-20 21:28;lq;3;NA;8;2006-04-20 21:28
2006;2006-04-27 13:44;nm;4;2006-04-27 13:44;8;NA
2006;2006-05-04 23:13;fq;4;NA;9;2006-05-04 23:13
2006;2006-05-13 00:51;fm;4;NA;9;NA
2006;2006-05-20 03:21;lq;4;NA;10;2006-05-20 03:21
2006;2006-05-26 23:26;nm;5;2006-05-26 23:26;10;NA
2006;2006-06-03 17:06;fq;5;NA;11;2006-06-03 17:06
2006;2006-06-11 12:03;fm;5;NA;11;NA
2006;2006-06-18 08:08;lq;5;NA;12;2006-06-18 08:08
2006;2006-06-25 10:05;nm;6;2006-06-25 10:05;12;NA
2006;2006-07-03 10:37;fq;6;NA;13;2006-07-03 10:37
2006;2006-07-10 21:02;fm;6;NA;13;NA
2006;2006-07-17 13:13;lq;6;NA;14;2006-07-17 13:13
2006;2006-07-24 22:31;nm;7;2006-07-24 22:31;14;NA
2007;2007-01-03 06:57;fm;0;NA;0;NA
2007;2007-01-11 05:45;lq;0;NA;0;NA
2007;2007-01-18 21:01;nm;1;2007-01-18 21:01;0;NA
2007;2007-01-25 16:01;fq;1;NA;1;2007-01-25 16:01
2007;2007-02-01 22:45;fm;1;NA;1;NA
2007;2007-02-10 02:51;lq;1;NA;2;2007-02-10 02:51
2007;2007-02-17 09:14;nm;2;2007-02-17 09:14;2;NA
2007;2007-02-24 00:56;fq;2;NA;3;2007-02-24 00:56
2007;2007-03-03 16:17;fm;2;NA;3;NA
2007;2007-03-11 20:54;lq;2;NA;4;2007-03-11 20:54
2007;2007-03-18 19:43;nm;3;2007-03-18 19:43;4;NA
2007;2007-03-25 11:16;fq;3;NA;5;2007-03-25 11:16
2007;2007-04-02 11:15;fm;3;NA;5;NA
2007;2007-04-10 12:04;lq;3;NA;6;2007-04-10 12:04
2007;2007-04-17 05:36;nm;4;2007-04-17 05:36;6;NA
2007;2007-04-24 00:36;fq;4;NA;7;2007-04-24 00:36
2007;2007-05-02 04:09;fm;4;NA;7;NA
2007;2007-05-09 22:27;lq;4;NA;8;2007-05-09 22:27
2007;2007-05-16 13:27;nm;5;2007-05-16 13:27;8;NA
2007;2007-05-23 15:03;fq;5;NA;9;2007-05-23 15:03
2007;2007-05-31 19:04;fm;5;NA;9;NA
2007;2007-06-08 05:43;lq;5;NA;10;2007-06-08 05:43
2007;2007-06-14 21:13;nm;6;2007-06-14 21:13;10;NA
2007;2007-06-22 07:15;fq;6;NA;11;2007-06-22 07:15
2007;2007-06-30 07:49;fm;6;NA;11;NA
2007;2007-07-07 10:54;lq;6;NA;12;2007-07-07 10:54
2007;2007-07-14 06:04;nm;7;2007-07-14 06:04;12;NA
2007;2007-07-22 00:29;fq;7;NA;13;2007-07-22 00:29
2007;2007-07-29 18:48;fm;7;NA;13;NA
2008;2008-01-08 04:37;nm;1;2008-01-08 04:37;0;NA
2008;2008-01-15 12:46;fq;1;NA;1;2008-01-15 12:46
2008;2008-01-22 06:35;fm;1;NA;1;NA
2008;2008-01-29 22:03;lq;1;NA;2;2008-01-29 22:03
2008;2008-02-06 20:45;nm;2;2008-02-06 20:45;2;NA
2008;2008-02-13 20:33;fq;2;NA;3;2008-02-13 20:33
2008;2008-02-20 20:31;fm;2;NA;3;NA
2008;2008-02-28 19:18;lq;2;NA;4;2008-02-28 19:18
2008;2008-03-07 10:14;nm;3;2008-03-07 10:14;4;NA
2008;2008-03-14 03:46;fq;3;NA;5;2008-03-14 03:46
2008;2008-03-21 11:40;fm;3;NA;5;NA
2008;2008-03-29 14:47;lq;3;NA;6;2008-03-29 14:47
2008;2008-04-05 20:55;nm;4;2008-04-05 20:55;6;NA
2008;2008-04-12 12:32;fq;4;NA;7;2008-04-12 12:32
2008;2008-04-20 04:25;fm;4;NA;7;NA
2008;2008-04-28 08:12;lq;4;NA;8;2008-04-28 08:12
2008;2008-05-05 06:18;nm;5;2008-05-05 06:18;8;NA
2008;2008-05-11 21:47;fq;5;NA;9;2008-05-11 21:47
2008;2008-05-19 20:11;fm;5;NA;9;NA
2008;2008-05-27 20:57;lq;5;NA;10;2008-05-27 20:57
2008;2008-06-03 13:23;nm;6;2008-06-03 13:23;10;NA
2008;2008-06-10 09:04;fq;6;NA;11;2008-06-10 09:04
2008;2008-06-18 11:30;fm;6;NA;11;NA
2008;2008-06-26 06:10;lq;6;NA;12;2008-06-26 06:10
2008;2008-07-02 20:19;nm;7;2008-07-02 20:19;12;NA
2008;2008-07-09 22:35;fq;7;NA;13;2008-07-09 22:35
2008;2008-07-18 01:59;fm;7;NA;13;NA
2008;2008-07-25 12:42;lq;7;NA;14;2008-07-25 12:42
2009;2009-01-04 04:56;fq;0;NA;1;2009-01-04 04:56
2009;2009-01-10 20:27;fm;0;NA;1;NA
2009;2009-01-17 19:46;lq;0;NA;2;2009-01-17 19:46
2009;2009-01-26 00:55;nm;1;2009-01-26 00:55;2;NA
2009;2009-02-02 16:13;fq;1;NA;3;2009-02-02 16:13
2009;2009-02-09 07:49;fm;1;NA;3;NA
2009;2009-02-16 14:37;lq;1;NA;4;2009-02-16 14:37
2009;2009-02-24 18:35;nm;2;2009-02-24 18:35;4;NA
2009;2009-03-04 00:46;fq;2;NA;5;2009-03-04 00:46
2009;2009-03-10 19:38;fm;2;NA;5;NA
2009;2009-03-18 10:47;lq;2;NA;6;2009-03-18 10:47
2009;2009-03-26 09:06;nm;3;2009-03-26 09:06;6;NA
2009;2009-04-02 07:34;fq;3;NA;7;2009-04-02 07:34
2009;2009-04-09 08:56;fm;3;NA;7;NA
2009;2009-04-17 07:36;lq;3;NA;8;2009-04-17 07:36
2009;2009-04-24 21:23;nm;4;2009-04-24 21:23;8;NA
2009;2009-05-01 14:44;fq;4;NA;9;2009-05-01 14:44
2009;2009-05-08 22:01;fm;4;NA;9;NA
2009;2009-05-17 01:26;lq;4;NA;10;2009-05-17 01:26
2009;2009-05-24 06:11;nm;5;2009-05-24 06:11;10;NA
2009;2009-05-30 21:22;fq;5;NA;11;2009-05-30 21:22
2009;2009-06-07 12:12;fm;5;NA;11;NA
2009;2009-06-15 16:15;lq;5;NA;12;2009-06-15 16:15
2009;2009-06-22 13:35;nm;6;2009-06-22 13:35;12;NA
2009;2009-06-29 05:28;fq;6;NA;13;2009-06-29 05:28
2009;2009-07-07 03:21;fm;6;NA;13;NA
2009;2009-07-15 03:53;lq;6;NA;14;2009-07-15 03:53
2009;2009-07-21 20:35;nm;7;2009-07-21 20:35;14;NA
2009;2009-07-28 16:00;fq;7;NA;15;2009-07-28 16:00
2010;2010-01-07 03:39;lq;0;NA;0;NA
2010;2010-01-15 00:11;nm;1;2010-01-15 00:11;0;NA
2010;2010-01-23 03:53;fq;1;NA;1;2010-01-23 03:53
2010;2010-01-29 23:18;fm;1;NA;1;NA
2010;2010-02-05 16:48;lq;1;NA;2;2010-02-05 16:48
2010;2010-02-13 19:51;nm;2;2010-02-13 19:51;2;NA
2010;2010-02-21 17:42;fq;2;NA;3;2010-02-21 17:42
2010;2010-02-28 09:38;fm;2;NA;3;NA
2010;2010-03-07 08:42;lq;2;NA;4;2010-03-07 08:42
2010;2010-03-15 14:01;nm;3;2010-03-15 14:01;4;NA
2010;2010-03-23 04:00;fq;3;NA;5;2010-03-23 04:00
2010;2010-03-29 19:25;fm;3;NA;5;NA
2010;2010-04-06 03:37;lq;3;NA;6;2010-04-06 03:37
2010;2010-04-14 06:29;nm;4;2010-04-14 06:29;6;NA
2010;2010-04-21 12:20;fq;4;NA;7;2010-04-21 12:20
2010;2010-04-28 06:18;fm;4;NA;7;NA
2010;2010-05-05 22:15;lq;4;NA;8;2010-05-05 22:15
2010;2010-05-13 19:04;nm;5;2010-05-13 19:04;8;NA
2010;2010-05-20 17:43;fq;5;NA;9;2010-05-20 17:43
2010;2010-05-27 17:07;fm;5;NA;9;NA
2010;2010-06-04 16:13;lq;5;NA;10;2010-06-04 16:13
2010;2010-06-12 05:15;nm;6;2010-06-12 05:15;10;NA
2010;2010-06-18 22:29;fq;6;NA;11;2010-06-18 22:29
2010;2010-06-26 05:30;fm;6;NA;11;NA
2010;2010-07-04 08:35;lq;6;NA;12;2010-07-04 08:35
2010;2010-07-11 13:40;nm;7;2010-07-11 13:40;12;NA
2010;2010-07-18 04:11;fq;7;NA;13;2010-07-18 04:11
2010;2010-07-25 19:37;fm;7;NA;13;NA
2011;2011-01-04 02:03;nm;1;2011-01-04 02:03;0;NA
2011;2011-01-12 04:31;fq;1;NA;1;2011-01-12 04:31
2011;2011-01-19 14:21;fm;1;NA;1;NA
2011;2011-01-26 05:57;lq;1;NA;2;2011-01-26 05:57
2011;2011-02-02 19:31;nm;2;2011-02-02 19:31;2;NA
2011;2011-02-11 00:18;fq;2;NA;3;2011-02-11 00:18
2011;2011-02-18 01:36;fm;2;NA;3;NA
2011;2011-02-24 16:26;lq;2;NA;4;2011-02-24 16:26
2011;2011-03-04 13:46;nm;3;2011-03-04 13:46;4;NA
2011;2011-03-12 16:45;fq;3;NA;5;2011-03-12 16:45
2011;2011-03-19 11:10;fm;3;NA;5;NA
2011;2011-03-26 05:07;lq;3;NA;6;2011-03-26 05:07
2011;2011-04-03 08:32;nm;4;2011-04-03 08:32;6;NA
